email_id,deal_id,sender,receiver,subject,email_body,sent_timestamp
E00001,D0316,..cristian.santos...@yahoo.com,jeffery.berger@hotmail.com,past he practice center model daughter.,We may have to look at other vendors if this isn't resolved.,06/29/2026
E00002,D0621,monica.herrera@hotmail.com,mrs..janet.chase@yahoo.com,Page line decision form section you until.,"Thanks so much for the quick turnaround, this looks great!",17-04-2026
E00003,D0794,ryan.munoz@hotmail.com,stacy.gomez@yahoo.com,Fish conference like.,"Really appreciate the detailed proposal, excited to move forward.",2025/12/15
E00004,D0450,allison.hill@gmail.com,jerry.pierce@yahoo.com,Current behind learn behind person.,Please find attached the requested documents.,2026/07/30
E00005,D0761,..cristian.santos...@gmail.com,joan.armstrong@yahoo.com,THIRD GENERAL ADD COVER EXIST TREATMENT INTERNATIONAL.,"Really appreciate the detailed proposal, excited to move forward.",2026/04/12
E00006,D0115,gina.moore@yahoo.com,kristin.andrews@hotmail.com,Various night political dark or bill.,Please find attached the requested documents.,2026-05-19
E00007,D0352,monica.herrera@gmail.com,melissa.walker@yahoo.com,Bill someone onto she form sign option.,"Really appreciate the detailed proposal, excited to move forward.",29-12-2025
E00008,D0386,ryan.munoz@hotmail.com,tami.graves@hotmail.com,Decide able discussion describe upon past century.,"Really appreciate the detailed proposal, excited to move forward.",01/15/2026
E00009,D0460,allison.hill@COMPANY.COM,cindy.huntgmail.com,Follow time appear.,Please find attached the requested documents.,
E00010,D0860,daniel.wagnergmail.com,george.orozco@yahoo.com,PROFESSOR FORCE MATTER BRING NICE HELP.,"Really appreciate the detailed proposal, excited to move forward.",20/03/2026
E00011,D0154,angie.henderson@yahoo.com,lisa.brown@yahoo.com,stuff first back painting degree.,Please find attached the requested documents.,2026/02/14
E00012,D0335,allison.hill@hotmail.com,christine.wonggmail.com,represent style night majority smile.,Can we schedule a call sometime next week?,12/16/2025
E00013,D0657,gina.moore@hotmail.com,,,"Really appreciate the detailed proposal, excited to move forward.",07/05/2026
E00014,D0880,angie.henderson@hotmail.com,gavin.zhang@hotmail.com,him condition section action kind.,We may have to look at other vendors if this isn't resolved.,2026-02-24
E00015,D0246,noah.rhodes@gmail.com,jennifer.martinez@hotmail.com,Foreign treat trouble me actually.,"This is taking longer than expected, we need an update ASAP.",24-03-2026
E00016,D0288,daniel.wagner@hotmail.com,michele.evans@yahoo.com,Huge yet region ever arm occur air.,Please find attached the requested documents.,2026/01/14
E00017,D0697,gina.moore@yahoo.com,,SPACE ALTHOUGH AHEAD THUS CHECK SAVE THAT.,"Great call today, looking forward to next steps.",16-05-2026
E00018,D0221,ryan.munozgmail.com,,Street budget kitchen report fire teach.,"Not happy with the delay, please escalate.",2025-12-06
E00019,D0188,..cristian.santos...@gmail.com,jonathan.jimenez@hotmail.com,Scene four public tonight today college worry reveal.,Following up on our last conversation regarding pricing.,15/01/2026
E00020,D0001,lisa.hensley@gmail.com,laura.mckinney@hotmail.com,indicate property article cover seven challenge.,Please find attached the requested documents.,
E00021,D0364,jamie.arnold@gmail.com,daniel.garcia@yahoo.com,Every cup measure.,"Not happy with the delay, please escalate.",12-01-2026
E00022,D0696,daniel.wagner@hotmail.com,scott.pierce@gmail.com,Event go game nothing recent.,We may have to look at other vendors if this isn't resolved.,2025-12-17
E00023,D0361,jamie.arnold@yahoo.com,joshua.mcmillan@gmail.com,  Truth consumer beat fish.   ,"This is taking longer than expected, we need an update ASAP.",04/04/2026
E00024,D0131,abigail.shaffergmail.com,robert.bowen@gmail.com,Small design hear ball.,We may have to look at other vendors if this isn't resolved.,2026/04/21
E00025,D0076,connie.lawrence@gmail.com,donna.wilson@yahoo.com,Section scene financial here expert.,"Great call today, looking forward to next steps.",2026-05-17
E00026,D0263,ryan.munoz@hotmail.com,christopher.ferrell@yahoo.com,Difficult could third computer far recently.,"Great call today, looking forward to next steps.",
E00027,D0427,noah.rhodes@yahoo.com,stanley.barnes@yahoo.com,Hair sign mission stop reach color wear one.,Following up on our last conversation regarding pricing.,11/01/2026
E00028,D0625,ryan.munoz@hotmail.com,benjamin.smith@gmail.com,Get specific someone debate record mean.,We may have to look at other vendors if this isn't resolved.,13-12-2025
E00029,D0770,jamie.arnold@yahoo.com,cody.brown@gmail.com,Significant election life all boy probably cost.,"Not happy with the delay, please escalate.",06/15/2026
