deal_id,customer_id,salesperson_id,deal_value,current_stage,status,created_date,closed_date,date_logic_error,deal_duration_days,customer_company,customer_contact,customer_email,customer_phone,customer_email_status,salesperson_name,salesperson_email,salesperson_role,salesperson_email_status,activity_count,last_activity_date,act_call,act_email,act_follow_up,act_meeting,act_note,act_unknown,email_count,last_email_date,positive_emails,negative_emails,engagement_score
D0001,C0302,U008,78611.9,Closed Won,closed,2025-11-28,2026-03-02,False,94.0,"Weber, Mitchell And Miller",Sarah Ramirez,sarah.ramirez@gmail.com,+1-444-640-1929x275,valid,Gina Moore,gina.moore@yahoo.com,rep,valid,1,,0.0,1.0,0.0,0.0,0.0,0.0,1,,0,0,3
D0002,C0355,U013,10632.0,,open,2025-11-23,,False,,"Cain, Contreras And Jackson",Wayne Harris,wayne.harris@hotmail.com,583-344-0496,valid,Lisa Hensley,lisa.hensley@yahoo.com,rep,valid,3,2026-02-22,0.0,0.0,3.0,0.0,0.0,0.0,2,2026-01-10,1,1,8
D0003,C0022,U010,10346.37,Closed Won,lost,,2026-06-19,False,,"Atkinson, Jones And Perry",Cheyenne Horton,cheyenne.horton@yahoo.com,(332)901-6328x7083,valid,Ryan Munoz,ryan.munoz@yahoo.com,rep,valid,2,,1.0,1.0,0.0,0.0,0.0,0.0,1,,1,0,5
D0004,C0111,U008,65990.58,Closed Won,lost,,,False,,"Barnes, Miranda And Stephenson",Daniel Garcia,,5792030673,missing,Gina Moore,gina.moore@yahoo.com,rep,valid,4,2025-12-18,0.0,1.0,2.0,0.0,1.0,0.0,2,,0,2,10
D0005,C0052,U005,11191.79,Closed Won,open,,,False,,Chambers-Chambers,Samantha Bentley,samantha.bentley@COMPANY.COM,337-909-8593,placeholder,Cristian Santos,cristian.santos@gmail.com,unknown,valid,0,,,,,,,,3,2026-03-10,0,2,3
D0006,C0397,U004,30583.07,Closed Lost,,,,False,,Turner-Tucker,Brenda Lawrence,brenda.lawrence@gmail.com,643-927-0185x1067,valid,Daniel Wagner,daniel.wagner@yahoo.com,admin,valid,4,2025-12-10,0.0,0.0,2.0,1.0,1.0,0.0,1,,1,0,9
D0007,C0151,U001,72406.53,Prospecting,open,2025-11-20,,False,,Rogers Group,Austin Joseph,austin.joseph@hotmail.com,+1-317-378-5079x2524,valid,Allison Hill,allison.hillgmail.com,manager,malformed,2,,1.0,0.0,0.0,1.0,0.0,0.0,0,,0,0,4
D0008,C0375,U004,47584.51,Closed Lost,open,2026-09-06,,False,,Scott-Allen,Jennifer Smith,jennifer.smith@gmail.com,(666)442-1476,valid,Daniel Wagner,daniel.wagner@yahoo.com,admin,valid,4,2026-06-22,2.0,0.0,0.0,2.0,0.0,0.0,0,,0,0,8
D0009,C0205,U011,54979.99,Qualified,open,,,False,,Pruitt Ltd,Holly Chapman,holly.chapman@hotmail.com,+1-233-847-2122x816,valid,Monica Herrera,monica.herreragmail.com,rep,malformed,1,2026-10-01,0.0,0.0,1.0,0.0,0.0,0.0,1,,0,0,3
D0010,C0099,U008,60345.0,Closed Won,lost,2025-12-10,2025-12-13,False,3.0,Stevens Plc,Hector Ingram,hector.ingram@hotmail.com,,valid,Gina Moore,gina.moore@yahoo.com,rep,valid,2,2026-04-22,0.0,0.0,0.0,1.0,0.0,1.0,2,,2,0,6
