customer_id,email,customer_type,signup_date,lifetime_value,is_churned,region
1001,customer_1001@company1.com,Enterprise,2025-01-01,142472.41,0,US
1002,customer_1002@company2.com,Enterprise,2025-01-02,177042.86,0,EU
1003,customer_1003@company3.com,Enterprise,2025-01-03,163919.64,0,APAC
1004,customer_1004@company4.com,Enterprise,2025-01-04,155919.51,0,EU
1005,customer_1005@company5.com,Enterprise,2025-01-05,129361.12,0,APAC
1006,customer_1006@company6.com,Enterprise,2025-01-06,129359.67,0,EU
1007,customer_1007@company7.com,Enterprise,2025-01-07,123485.02,0,EU
1008,customer_1008@company8.com,Enterprise,2025-01-08,171970.57,0,APAC
1009,customer_1009@company9.com,Enterprise,2025-01-09,156066.9,0,US
1010,customer_1010@company10.com,Enterprise,2025-01-10,162484.35,0,EU
1011,customer_1011@company11.com,Enterprise,2025-01-11,121235.07,0,US
1012,customer_1012@company12.com,Enterprise,2025-01-12,178194.59,0,LATAM
1013,customer_1013@company13.com,Enterprise,2025-01-13,169946.56,0,LATAM
1014,customer_1014@company14.com,Enterprise,2025-01-14,132740.35,0,US
1015,customer_1015@company15.com,Enterprise,2025-01-15,130909.5,0,EU
1016,customer_1016@company16.com,Enterprise,2025-01-16,131004.27,0,LATAM
1017,customer_1017@company17.com,Enterprise,2025-01-17,138254.53,0,US
1018,customer_1018@company18.com,Enterprise,2025-01-18,151485.39,0,EU
1019,customer_1019@company19.com,Enterprise,2025-01-19,145916.7,0,LATAM
1020,customer_1020@company0.com,Enterprise,2025-01-20,137473.75,0,US
1021,customer_1021@company1.com,Enterprise,2025-01-21,156711.17,0,EU
1022,customer_1022@company2.com,Enterprise,2025-01-22,128369.63,0,US
1023,customer_1023@company3.com,Enterprise,2025-01-23,137528.68,0,LATAM
1024,customer_1024@company4.com,Enterprise,2025-01-24,141981.71,0,LATAM
1025,customer_1025@company5.com,Enterprise,2025-01-25,147364.2,0,LATAM
1026,customer_1026@company6.com,SMB,2025-01-26,10281.41,0,EU
1027,customer_1027@company7.com,SMB,2025-01-27,5597.39,0,APAC
1028,customer_1028@company8.com,SMB,2025-01-28,8113.88,0,APAC
1029,customer_1029@company9.com,SMB,2025-01-29,8739.32,1,US
1030,customer_1030@company10.com,SMB,2025-01-30,4371.6,0,APAC
1031,customer_1031@company11.com,SMB,2025-01-31,8860.36,0,US
1032,customer_1032@company12.com,SMB,2025-02-01,5364.19,0,EU
1033,customer_1033@company13.com,SMB,2025-02-02,4520.41,0,US
1034,customer_1034@company14.com,SMB,2025-02-03,11591.08,0,US
1035,customer_1035@company15.com,SMB,2025-02-04,11725.06,0,US
1036,customer_1036@company16.com,SMB,2025-02-05,10467.18,0,EU
1037,customer_1037@company17.com,SMB,2025-02-06,6436.91,0,US
1038,customer_1038@company18.com,SMB,2025-02-07,4781.38,0,EU
1039,customer_1039@company19.com,SMB,2025-02-08,9473.86,0,US
1040,customer_1040@company0.com,SMB,2025-02-09,7521.22,0,US
1041,customer_1041@company1.com,SMB,2025-02-10,4976.31,0,EU
1042,customer_1042@company2.com,SMB,2025-02-11,7961.42,0,APAC
1043,customer_1043@company3.com,SMB,2025-02-12,4275.11,0,US
1044,customer_1044@company4.com,SMB,2025-02-13,11274.56,0,EU
1045,customer_1045@company5.com,SMB,2025-02-14,6070.24,0,APAC
